,Unnamed: 0,product_name,review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
20,20,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Wonderful,"The product is great. The Fed Ex delivery system SUCKED!!!!!! Took 4 times to deliver my product, but only because it wasn't even on the truck the first 3 times. So frustrating. Maybe switch to UPS!?",Jessica Miramontes,5.0 out of 5 stars,"Reviewed in the United States on August 7, 2022",One person found this helpful
21,21,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Lobe my new MacBook,"To be very fair any laptop would have been a upgrade for me. Haven't purchased one since 2014. But this MacBook in the 14"" is great. Ready to use it to it's full potential. Also ready for more options of cases and sleeves to be available.",Flo,5.0 out of 5 stars,"Reviewed in the United States on November 30, 2021",13 people found this helpful
22,22,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The perfect laptop,"This is the perfect laptop for so many use cases. I use a lot of content creating apps and websites and this machine has not gotten hot once! Really one of the best purchases I've made especially in the computer space. I usually keep laptops for 6+ years and I do not see that changing with this one. However, there are a couple of drawbacks, if you need MS Access then you will need to use an emulator to run Windows on the laptop (Parallels does an awesome job of that) and some web file hosting applications still don't work for M1 laptops like Box. So if Box is your file hosting solution in the office, it is not yet supported but they claim to be working on it.",Shakola,5.0 out of 5 stars,"Reviewed in the United States on May 6, 2022",5 people found this helpful
23,23,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Best MacBook Pro ever - for a lot of reasons,"M1 pro chip is super powerful - photo/video editing, graphic design - this thing just kills it. Compared to previous MacBook Pro, it's a giant leap ahead. These tasks are a main reason to buy the pro version of the Macbook. This particularly model is the lower end of the spec you can get for a pro,  but it still kicks butt. You can get the Pro Max chip and bump up the RAM to 64GB if you want - and add tons more storage. The 14 inch MacBook pro is the perfect size for a balance of portability and power. It can do pretty much everything the 16 inch version does. The display is stunning. Just gorgeous. 120hz capability (pro motion) gets rid of blur when scrolling and makes for clearer action when viewing movies. The brightness and black levels on the display are awesome. Real HDR viewing -  a big difference. You will hear about ""the notch"" at the top of the screen where the camera is. After 10 minutes I don't even notice it. It means nothing for your experience. Its just something critics have chosen to harp about. in most apps the notch is no even visible. Camera is now a full 1080p and is a big upgrade over previous MacBooks. Six speaker sound system with new woofers - sounds incredible. Music/movies it feels like surround sound. For video conferencing the microphones are studio quality and you can tell - this is great for video conferencing. The keyboard is a dream to type on. Very solid like all MacBooks, no spongy feel you get with so many other laptops. The Apple Magic Keyboard is the best - as is the track pad. Battery life is amazing. I have gone all day on battery without needing to plug in. At best its spec says 17 hours, which is crazy! Especially for this spec...but for real world use with a mix of tasks, it won't be 17 hours but I did a 9 hour session yesterday, and still had a ton of battery left. The power efficiency is ground breaking. They have added back the MagSafe power plug - which is great! And added back an SD card slot and and an HDMI port - which many of us hated the previous macs that deleted these ports. I wish it had at least one USB-A old style port - but it doesn't. You get three USB-C thunderbolt 4 ports that you can use with adapters if needed. They got rid of the touch screen bar at the top of the keyboard from previous pro MacBooks and put back the regular mechanical keys for the controls. Apparently they listened to a lot of users who didn't really like the touch pad. The shape and style of this laptop is great. Some say the edge of the laptop looks ""sharp"" where your wrists rest. That is BS. I have been typing most of the day and I don't feel any issue with the edge of the laptop at all. Very comfy for typing. Some haters may try to find reasons to bash this new Macbook Pro, but I am telling you - from any perspective, all brand bias aside -  this is an amazing laptop - the best Apple has ever made, hands down. And I would say you won't find a better power laptop anywhere.  All that said - this is not a gamers machine. Apple is not for hard core gamers. I mean you can play games on it that you get from the app store. I am a hard core gamer and a PC geek  - I have a powerful windows PC for gaming. And always will. But for everything else. this MacBook is king. I use to for music, for photo and video editing, for productivity. I can plut into a giant monitor if I want a bigger screen - it works great on my 34 inch IPS panel. So if you are wondering if this Macbook 14 inch pro is the real deal or not - I am here to tell you, its the real deal. I finally upgraded from my 2015 MacBook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package. If you are thinking of getting one - you won't be disappointed. One last comment. I am an old timer windows guy, and I know all the counter arguments for the Mac. Many wills say this is overpriced compared to a windows laptop with similar spec. First, show me an intel based laptop that can match these new M1 Pro chips - you can't. And aside from that, the Mac OS is secure and stable - rock solid - and is intuitive with amazing features - like the ability to copy and paste text FROM A PHOTO! Whaaat? And the design/ergonomics/quality of these MacBooks is unmatched. So, yes you pay more - but you get more. My last MacBook pro lasted me almost 7 years and it still works great. If you want this laptop - get it! It rocks.",Jake,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2021",348 people found this helpful
24,24,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The most comfortable laptop I've ever had,I use it for iOS development and it's the best.,iOS dev,5.0 out of 5 stars,"Reviewed in the United States on October 4, 2022",
25,25,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Easy to learn,"I have been using Windows and Chrome books for quite awhile. I had an opportunity to get the MacBook Pro 14. I love it. I really like how the display looks, how fast it wakes up and was very easy to learn my way around very quickly.",Bonnie Hayslett,5.0 out of 5 stars,"Reviewed in the United States on September 3, 2022",
26,26,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The package was dented on one end,,Joseph Avallone,1.0 out of 5 stars,"Reviewed in the United States on June 29, 2022",7 people found this helpful
27,27,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",SCAM!!,I was scammed into getting this item. The item listing is a scam. Beware!!,Afreen,1.0 out of 5 stars,"Reviewed in the United States on February 21, 2022",5 people found this helpful
28,28,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Received damaged product,,zuraba,1.0 out of 5 stars,"Reviewed in the United States on May 2, 2022",4 people found this helpful
29,29,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Beautiful 10/10 laptop!,You get what you pay for.,Landon Hughes,5.0 out of 5 stars,"Reviewed in the United States on May 25, 2022",2 people found this helpful
30,30,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Everything I Hoped It Would Be,Everything runs perfectly. This is such a night and day difference from my 2015 Macbook Pro. 5/5 stars,David,5.0 out of 5 stars,"Reviewed in the United States on August 4, 2022",2 people found this helpful
31,31,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Very fast laptop good for daily use browsing videos and editing,Very portable lightweight and the battery is good,Al,5.0 out of 5 stars,"Reviewed in the United States on April 22, 2022",
32,32,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Fantastic,That all I have to say. Amazing.,BigRalphN,5.0 out of 5 stars,"Reviewed in the United States on March 26, 2022",One person found this helpful
33,33,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Best MacBook Ever. Period.,"This MacBook is the absolutely perfect balance of design, battery life and sheer power. I‘ve used six MacBook Pros since 2012, and this is by far the best yet. The 14-inch form factor is PERFECT and I couldn’t ask for anything more. Worth every dollar and the best pick for students who need power (e.g. engineering students.) Downright incredible.",The Primer,5.0 out of 5 stars,"Reviewed in the United States on January 27, 2022",One person found this helpful
34,34,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The speakers and webcam are a shame,"Unbelievable - my MacBook Pro 15 2013 has a better webcam than this machine. Yes, it's 720, not 1080 but the colors and details are still more natural. Really, in a machine that is 8 years old?? I can not make any sense of it - is it because Apple installs better cameras on 15/16 inch MacBook Pros?",Dmitry,3.0 out of 5 stars,"Reviewed in the United States on March 25, 2022",One person found this helpful
35,35,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",The perfect laptop,"Well built, beautiful, fun to use and powerful beyond my most-demanding workloads. Obviously Apple is a luxury product, so I was not expecting this to be cheap. However, if this lasts me a decade like my 2012 MacBook Pro did, it will definitely be well worth the expensive price.",Amir M,5.0 out of 5 stars,"Reviewed in the United States on July 16, 2022",2 people found this helpful
36,36,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Why Wouldn't It Be An Apple,"Only reason 4 Starts because, although marked PRIME it was not able to be delivered in the 2 days ! explanation - ""it's coming from warehouse further out"", will be delivered following week on Tuesday.  It  shipped late and so didn't arrive until Wednesday.  Otherwise, I love my purchase of the Apple 14"" Mac Book Pro (Silver). The graphics and sound are excellent and I am really liking the feel of the keys/keyboard and finger ID for login.  It's so much quicker and easier to use than the Lenovo Idea Pad that this Apple is replacing.  Already had a Mac Desktop and as have iPhone so makes sense to switch laptop to Apple.  Apple so much better, lasts longer, no virus worry or continual purchase of protection plans....LOVE IT !",DjW,4.0 out of 5 stars,"Reviewed in the United States on February 12, 2022",2 people found this helpful
37,37,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Good for just work,"Don’t get me wrong, it’s a good laptop for doing homework and writing emails. But beyond that, I don’t see why I was stupid enough to spend this much money on a laptop... the battery life for me is eh, and don’t even try installing steam or trying any games, it stutters like crazy. Don’t buy an apple laptop, save your money and buy a cheaper laptop.",Maysen,3.0 out of 5 stars,"Reviewed in the United States on February 12, 2022",2 people found this helpful
38,38,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Not as reliable.,"As many others have posted throughout the internet, there are some annoying bugs affecting these new macbooks and others who upgraded to Monterey OS. The tap to click feature that many loved in previous macs doesn't work well. Now there are some miss taps when using tap to click. The trackpad often requires several taps to register your click even after trying all possible trackpad configurations.",HRisario,1.0 out of 5 stars,"Reviewed in the United States on July 21, 2022",2 people found this helpful
39,39,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Purchased from Apple,"WOW! Going from my mid-spec 2019 13"" MacBook pro to 2021 14"" BASE model is a night and day difference in performance, looks, usability with ports, and the list goes on... Geekbench shows huge gains, double in single-core, triple in multi-core, and four times higher in open CL.",daniel dorethy,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2021",11 people found this helpful
40,40,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray","MacBook Pro 14"" In Depth Review - A Student's Perspective",Intro,Everything Technology,5.0 out of 5 stars,"Reviewed in the United States on March 13, 2022",7 people found this helpful
41,41,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Problem with Amazon,There is nothing to say for the MacBook. A good product. And here is Amazon. I found out after 3 days of purchase that now it costs $ 250 at a discount. What should I do? Is it important to return the one and buy again at a discount? ))),BOKEN AIBAT,5.0 out of 5 stars,"Reviewed in the United States on July 21, 2022",One person found this helpful
42,42,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Why Wouldn't It Be An Apple,"Only reason 4 Starts because, although marked PRIME it was not able to be delivered in the 2 days ! explanation - ""it's coming from warehouse further out"", will be delivered following week on Tuesday. It shipped late and so didn't arrive until Wednesday. Otherwise, I love my purchase of the Apple 14"" Mac Book Pro (Silver). The graphics and sound are excellent and I am really liking the feel of the keys/keyboard and finger ID for login. It's so much quicker and easier to use than the Lenovo Idea Pad that this Apple is replacing. Already had a Mac Desktop and as have iPhone so makes sense to switch laptop to Apple. Apple so much better, lasts longer, no virus worry or continual purchase of protection plans....LOVE IT !",Homer Hammond,4.0 out of 5 stars,"Reviewed in the United States on March 14, 2022",3 people found this helpful
43,43,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Apple will drop support in a few years…,"These laptops have a lifespan of 5 years max. I would maybe even be prepared for a 3 year lifespan. The hardware is great, but apple software locks their old hardware forcing you to buy a new device. Even though your hardware would have more than enough power to run macOS.",Mr. Martini,1.0 out of 5 stars,"Reviewed in the United States on June 9, 2022",
44,44,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Doesn’t travel well,"Worked great while home, I’ve been traveling and it won’t recognize my login or WiFi while I’m traveling. It’s annoying and I’ve tried all of the tips /tricks I’ve seen online to bypass initial login.",TK,1.0 out of 5 stars,"Reviewed in the United States on February 20, 2022",3 people found this helpful
45,45,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Fast shipping came in great shape,Came 2 days earlier then estimated. Opened and powered on no problem. Should get a smile at Christmas.,Js. ,5.0 out of 5 stars,"Reviewed in the United States on December 4, 2021",
46,46,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Love anything Apple,"I like it, not sure what even all this machine will do.",Pj sher,5.0 out of 5 stars,"Reviewed in the United States on May 12, 2022",
47,48,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Wow,"Amazing computer.  We had a mid 2012 MacBook Pro and have been waiting to upgrade.  When the 14” came out we decided to go for it.  Got the M1 Pro 10/16/16.  Incredible resolution, speed, and battery life.  So happy we waited to upgrade.",Chick-fil-a Lover,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 13, 2022",9 people found this helpful
48,49,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Great laptop and fast.,"I purchased two of these, one for my twin grandson and granddaughter, because they are heading to college and almost all of the courses are online.",Bruce,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 14, 2022",13 people found this helpful
49,50,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Nothing like a MacBook!,"I have owned MacBooks for years, I went to a windows based device for a short time and sorrily missed the build quality, battery and keyboard!  I went back to the 14 with the new redesign and M1 processor.  I'm not one that needs many windows programs and really glad I went back and have the 3 year warranty with AppleCare on my device!  no worries for fragile hardware or leaking anymore!  Highly recommend.",DS,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 13, 2022",34 people found this helpful
50,51,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Amazing product for a great price!,"This laptop came in perfect condition. I had to sign for it when it arrived as opposed to it being left on the porch and potentially stolen like some other things I've ordered. The laptop looks and works great! It's super lightweight but has a big enough screen to where I don't feel like my pictures, browser, etc. are too small. I love the SD card ports, headphones port, and magnetic charging port on the side! It makes things so easy and the only adapters I need are for a DVD drive and anything with a USB cord. Would definitely rate this as high as possible and would recommend it to everyone I know!",Kaitlynn Hoff,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 24, 2022",30 people found this helpful
51,52,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Great buy,"Love it , Thanks Amazon",Dr.Mahmoud Yassin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 12, 2022",6 people found this helpful
52,53,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray","Very fast, easy to use and very well built.","Awesome product, very fast. Only thing is bothering me is Photos curation process that is taking way too long to finish. I understand it depends on the quantity of photos but still it sucks",Injeet,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 26, 2022",12 people found this helpful
53,54,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray","Much lighter than the 15"" MacBook Pro that I did have.","Very easy to transfer over all the files from the MacBook Pro 15"".  Much lighter and Keyboard has a back light for the keys.  So far no problems and I have been using it for around 2 weeks.",Lori Griffith,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 28, 2022",24 people found this helpful
54,55,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",I love every part of this Macbook,"It feels premium, looks premium and performs premium.",Robin,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 13, 2022",8 people found this helpful
55,56,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Love it but...,"Compact, lightweight, powerful, and long battery life. It's almost perfect.",LPIM,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 4, 2022",26 people found this helpful
56,57,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray","Its really only a 12"" screen.","Not sure why they always tell you it's bigger when its clearly not. 15"" diagonal measurement of screen with 12.5"" length at most",Jaxon Teeples,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 21, 2022",
57,58,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Love and missed Mac!,"Love this computer!  I’m a graphic designer so I need the power for all the Adobe programs. I had a pc for several years (switched from being a dedicated Mac user) only to save money at the time. The pc was ok but it was getting a bit old and I couldn’t keep multiple Adobe programs open.  Macs are so user friendly, and there are no speed issues whatsoever.  It’s hard to not appreciate so the ingenuity that goes into them. So happy I switched back!!!  Also I got the 14 inch, would have loved the 16, but I connect to an extra monitor, so it’s all good. Actually, The height of this screen is the same as my 17 inch pc!  It’s about an inch and a half less in width but it doesn’t feel too small to me.",Chica!,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 6, 2022",19 people found this helpful
58,59,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",Working very good.,Using it for couple of months. Very good performance.,Mir Mubashir Khalid,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 15, 2022",12 people found this helpful
